,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
Azure-Samples\\aci-java-scale-up-containers-using-acs,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1627450531292993e-06, z=4.861882727167153, Tau=0.803921568627451, s=123.0, var_s=629.6666666666666, slope=8.875, intercept=756.1875)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0019683993426926616, z=3.094959257026399, Tau=0.5032679738562091, s=77.0, var_s=603.0, slope=0.008771929824560987, intercept=3.7149122807017583)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aci-java-create-container-groups,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.267169229768328e-06, z=4.844835030275874, Tau=0.8382352941176471, s=114.0, var_s=544.0, slope=22.153846153846153, intercept=983.7692307692307)","Mann_Kendall_Test(trend='increasing', h=True, p=0.007798426716439932, z=2.660674667621822, Tau=0.4632352941176471, s=63.0, var_s=543.0, slope=0.011111111111111183, intercept=3.6472222222222217)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aci-java-manage-container-instances-2,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1627450531292993e-06, z=4.861882727167153, Tau=0.803921568627451, s=123.0, var_s=629.6666666666666, slope=20.535714285714285, intercept=1037.1964285714287)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00411371210595135, z=2.8693078389838935, Tau=0.477124183006536, s=73.0, var_s=629.6666666666666, slope=0.010317460317460345, intercept=3.6984126984126986)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aci-java-manage-container-instances-1,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.5368762416034798e-06, z=4.806380044736194, Tau=0.8308823529411765, s=113.0, var_s=543.0, slope=22.115384615384617, intercept=986.5769230769231)","Mann_Kendall_Test(trend='increasing', h=True, p=0.007798426716439932, z=2.660674667621822, Tau=0.4632352941176471, s=63.0, var_s=543.0, slope=0.010955638474295287, intercept=3.662354892205638)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\acs-java-deploy-image-from-acr-to-acs-orchestrator,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.1335776951847407e-06, z=4.740342005869765, Tau=0.8583333333333333, s=103.0, var_s=463.0, slope=10.914772727272727, intercept=725.5142045454545)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00608240013808703, z=2.7433058650743325, Tau=0.49166666666666664, s=59.0, var_s=447.0, slope=0.009878211152882161, intercept=3.6992138549498748)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\acs-java-manage-azure-container-service-with-docker-swarm-orchestrator,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=5.608260845724189e-06, z=4.5406441904678605, Tau=0.8083333333333333, s=97.0, var_s=447.0, slope=14.435606060606041, intercept=769.8996212121215)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00608240013808703, z=2.7433058650743325, Tau=0.49166666666666664, s=59.0, var_s=447.0, slope=0.01382178822409208, intercept=3.4425930201160124)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\acs-java-manage-azure-container-service-with-kubernetes-orchestrator,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.312468453449014e-06, z=4.595725150090289, Tau=0.7794117647058824, s=106.0, var_s=522.0, slope=13.205555555555534, intercept=807.0222222222222)","Mann_Kendall_Test(trend='increasing', h=True, p=0.003362337326265452, z=2.9325103338671368, Tau=0.5, s=68.0, var_s=522.0, slope=0.013228424803705207, intercept=3.5203408258694235)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aks-java-manage-kubernetes-cluster,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=5.608260845724189e-06, z=4.5406441904678605, Tau=0.8083333333333333, s=97.0, var_s=447.0, slope=14.49621212121209, intercept=774.1117424242426)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00608240013808703, z=2.7433058650743325, Tau=0.49166666666666664, s=59.0, var_s=447.0, slope=0.014151944194326284, intercept=3.46537149698422)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aks-java-deploy-image-from-acr-to-kubernetes,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.5368762416034798e-06, z=4.806380044736194, Tau=0.8308823529411765, s=113.0, var_s=543.0, slope=9.925, intercept=746.85)","Mann_Kendall_Test(trend='increasing', h=True, p=0.003362337326265452, z=2.9325103338671368, Tau=0.5, s=68.0, var_s=522.0, slope=0.009160810853298153, intercept=3.724959127208703)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\acr-java-manage-azure-container-registry-with-webhooks,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1627450531292993e-06, z=4.861882727167153, Tau=0.803921568627451, s=123.0, var_s=629.6666666666666, slope=8.803571428571429, intercept=710.7946428571429)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0019683993426926616, z=3.094959257026399, Tau=0.5032679738562091, s=77.0, var_s=603.0, slope=0.008771929824561653, intercept=3.6271929824561377)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\search-java-manage-search-service,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0001203956196687006, z=3.8453191794487926, Tau=0.39886039886039887, s=140.0, var_s=1306.6666666666667, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1169087876794492e-10, z=6.450216043596017, Tau=0.8660968660968661, s=304.0, var_s=2206.6666666666665, slope=31.88888888888889, intercept=608.4444444444445)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0885489913903257e-06, z=4.874915755721082, Tau=0.6552706552706553, s=230.0, var_s=2206.6666666666665, slope=0.034865900383141746, intercept=3.2568882225553892)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\compute-java-create-vms-async-tracking-related-resources,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.2211475279032555e-06, z=4.732185986125171, Tau=0.8161764705882353, s=111.0, var_s=540.3333333333334, slope=21.653409090909093, intercept=1042.2727272727273)","Mann_Kendall_Test(trend='increasing', h=True, p=0.005900287996277731, z=2.7532718464728267, Tau=0.47794117647058826, s=65.0, var_s=540.3333333333334, slope=0.011062387992831605, intercept=3.68483422939068)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\locks-java-manage-locks,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=5.608260845724189e-06, z=4.5406441904678605, Tau=0.8083333333333333, s=97.0, var_s=447.0, slope=21.653409090909093, intercept=1087.8494318181818)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00608240013808703, z=2.7433058650743325, Tau=0.49166666666666664, s=59.0, var_s=447.0, slope=0.012391937807789018, intercept=3.646485425044623)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\application-gateway-java-manage-simple-application-gateways,"Mann_Kendall_Test(trend='no trend', h=False, p=0.13223533026928402, z=-1.5053452771115876, Tau=-0.13825757575757575, s=-73.0, var_s=2287.6666666666665, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=8.017897457079926e-11, z=6.5002645018211025, Tau=0.7897727272727273, s=417.0, var_s=4095.6666666666665, slope=27.4375, intercept=501.5)","Mann_Kendall_Test(trend='no trend', h=False, p=0.27404511356690264, z=-1.093794507517974, Tau=-0.13446969696969696, s=-71.0, var_s=4095.6666666666665, slope=-0.013128727889757367, intercept=3.9902794264558974)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-use-network-watcher-to-check-connectivity,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=3.7727595447734075e-07, z=5.080080001613762, Tau=0.8187134502923976, s=140.0, var_s=748.6666666666666, slope=19.133333333333333, intercept=1017.8)","Mann_Kendall_Test(trend='increasing', h=True, p=0.004890715703605997, z=2.8141450368651775, Tau=0.45614035087719296, s=78.0, var_s=748.6666666666666, slope=0.01059039000215467, intercept=3.617015257103896)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-network-peering,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.5368762416034798e-06, z=4.806380044736194, Tau=0.8308823529411765, s=113.0, var_s=543.0, slope=22.076923076923077, intercept=992.8846153846154)","Mann_Kendall_Test(trend='increasing', h=True, p=0.007798426716439932, z=2.660674667621822, Tau=0.4632352941176471, s=63.0, var_s=543.0, slope=0.0114595891043456, intercept=3.620652054288523)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-create-simple-internet-facing-load-balancer,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0001203956196687006, z=3.8453191794487926, Tau=0.39886039886039887, s=140.0, var_s=1306.6666666666667, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1169087876794492e-10, z=6.450216043596017, Tau=0.8660968660968661, s=304.0, var_s=2206.6666666666665, slope=31.88888888888889, intercept=620.4444444444445)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0885489913903257e-06, z=4.874915755721082, Tau=0.6552706552706553, s=230.0, var_s=2206.6666666666665, slope=0.035033682411620796, intercept=3.1731335572203587)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-express-route-cross-connection,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.013708394561390724, z=2.464815167011795, Tau=0.5111111111111111, s=23.0, var_s=79.66666666666667, slope=1.0714285714285714, intercept=1239.6785714285713)","Mann_Kendall_Test(trend='increasing', h=True, p=0.013708394561390724, z=2.464815167011795, Tau=0.5111111111111111, s=23.0, var_s=79.66666666666667, slope=0.0031397174254316367, intercept=3.7441130298273158)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-express-route,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.312468453449014e-06, z=4.595725150090289, Tau=0.7794117647058824, s=106.0, var_s=522.0, slope=19.775, intercept=1097.3)","Mann_Kendall_Test(trend='increasing', h=True, p=0.003362337326265452, z=2.9325103338671368, Tau=0.5, s=68.0, var_s=522.0, slope=0.01132233715403963, intercept=3.6896410829874626)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-vpn-client-connection,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=6.211683036827509e-05, z=4.004621607549605, Tau=0.7582417582417582, s=69.0, var_s=288.3333333333333, slope=17.3, intercept=1140.05)","Mann_Kendall_Test(trend='increasing', h=True, p=0.006748456311589379, z=2.7090087345188505, Tau=0.5164835164835165, s=47.0, var_s=288.3333333333333, slope=0.009528827337046453, intercept=3.7182824025289776)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-virtual-network-to-virtual-network-vpn-connection,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=3.1672381184399967e-07, z=5.113213599350547, Tau=0.8245614035087719, s=141.0, var_s=749.6666666666666, slope=21.625, intercept=1022.875)","Mann_Kendall_Test(trend='increasing', h=True, p=0.004319009781788452, z=2.853870759731949, Tau=0.4619883040935672, s=79.0, var_s=747.0, slope=0.011263736263736224, intercept=3.5972565106126755)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-manage-virtual-network-with-site-to-site-vpn-connection,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.5368762416034798e-06, z=4.806380044736194, Tau=0.8308823529411765, s=113.0, var_s=543.0, slope=22.076923076923077, intercept=989.8846153846154)","Mann_Kendall_Test(trend='increasing', h=True, p=0.007798426716439932, z=2.660674667621822, Tau=0.4632352941176471, s=63.0, var_s=543.0, slope=0.011783348745188188, intercept=3.6043633470247958)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\network-java-use-new-watcher,"Mann_Kendall_Test(trend='increasing', h=True, p=9.667017348258256e-05, z=3.8988010144978356, Tau=0.3793103448275862, s=154.0, var_s=1540.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0843770326118829e-11, z=6.794833567191236, Tau=0.8793103448275862, s=357.0, var_s=2745.0, slope=26.180194805194805, intercept=713.4772727272727)","Mann_Kendall_Test(trend='increasing', h=True, p=1.9999230105316457e-06, z=4.753432088299548, Tau=0.6157635467980296, s=250.0, var_s=2744.0, slope=0.03237233656754185, intercept=3.1896444309115575)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\aad-java-manage-users-groups-and-roles,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0001203956196687006, z=3.8453191794487926, Tau=0.39886039886039887, s=140.0, var_s=1306.6666666666667, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.1169087876794492e-10, z=6.450216043596017, Tau=0.8660968660968661, s=304.0, var_s=2206.6666666666665, slope=31.88888888888889, intercept=611.9444444444445)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0885489913903257e-06, z=4.874915755721082, Tau=0.6552706552706553, s=230.0, var_s=2206.6666666666665, slope=0.035749061065516737, intercept=3.120976491862568)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\key-vault-java-manage-key-vaults,"Mann_Kendall_Test(trend='no trend', h=False, p=0.21132320544741456, z=-1.2499352387773999, Tau=-0.1036036036036036, s=-69.0, var_s=2959.6666666666665, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.922728891187944e-13, z=7.2274390496660565, Tau=0.8258258258258259, s=550.0, var_s=5770.0, slope=26.62, intercept=467.34)","Mann_Kendall_Test(trend='no trend', h=False, p=0.19246939854783363, z=-1.3033086810873216, Tau=-0.15015015015015015, s=-100.0, var_s=5770.0, slope=-0.010842503252857811, intercept=3.9863738497602315)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-storage-connections-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.17402848612176514, z=-1.3593727987693225, Tau=-0.1265597147950089, s=-71.0, var_s=2651.6666666666665, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.796558705777443e-10, z=6.225619861923274, Tau=0.7433155080213903, s=417.0, var_s=4465.0, slope=27.142857142857142, intercept=489.39285714285717)","Mann_Kendall_Test(trend='no trend', h=False, p=0.07740910040670035, z=-1.7659210185263134, Tau=-0.21212121212121213, s=-119.0, var_s=4465.0, slope=-0.013501955034213076, intercept=3.9754704301075265)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-scale-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.24151988886158016, z=-1.171196283409691, Tau=-0.11264367816091954, s=-49.0, var_s=1679.6666666666667, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=9.85975523448701e-10, z=6.111664069886526, Tau=0.7816091954022989, s=340.0, var_s=3076.6666666666665, slope=31.625, intercept=563.9375)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3968057173018975, z=-0.847339856296952, Tau=-0.1103448275862069, s=-48.0, var_s=3076.6666666666665, slope=-0.010790598290598289, intercept=3.8876464709126)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-web-apps-with-custom-domains,"Mann_Kendall_Test(trend='no trend', h=False, p=0.24151988886158016, z=-1.171196283409691, Tau=-0.11264367816091954, s=-49.0, var_s=1679.6666666666667, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=9.85975523448701e-10, z=6.111664069886526, Tau=0.7816091954022989, s=340.0, var_s=3076.6666666666665, slope=31.083333333333332, intercept=536.2916666666667)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3578582148086582, z=-0.9194538866200969, Tau=-0.11954022988505747, s=-52.0, var_s=3076.6666666666665, slope=-0.016066589237320943, intercept=4.044076655052264)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-deploy-image-from-acr-to-linux,"Mann_Kendall_Test(trend='increasing', h=True, p=0.007081880217869596, z=2.6929692410670665, Tau=0.23715415019762845, s=60.0, var_s=480.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=6.546494457637664e-10, z=6.176676663415783, Tau=0.9169960474308301, s=232.0, var_s=1398.6666666666667, slope=15.972222222222221, intercept=509.05555555555554)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00012020056721362415, z=3.8457167246595194, Tau=0.5691699604743083, s=144.0, var_s=1382.6666666666667, slope=0.014624505928853811, intercept=3.351950947603121)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-data-connections-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.21259734480410808, z=-1.2464551506082664, Tau=-0.11612903225806452, s=-54.0, var_s=1808.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.398561515017718e-10, z=6.239185139234553, Tau=0.7849462365591398, s=365.0, var_s=3403.6666666666665, slope=29.8125, intercept=523.3125)","Mann_Kendall_Test(trend='no trend', h=False, p=0.41009964195944804, z=-0.8237182945652073, Tau=-0.1053763440860215, s=-49.0, var_s=3395.6666666666665, slope=-0.012599469496020976, intercept=4.011214264662537)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-configure-deployment-sources-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.16443788560449946, z=-1.3902997109504744, Tau=-0.13368983957219252, s=-75.0, var_s=2833.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.2883217543068213e-09, z=5.9758937003739945, Tau=0.7130124777183601, s=400.0, var_s=4458.0, slope=29.145833333333332, intercept=455.59375)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.02987900099980445, z=-2.171690693118369, Tau=-0.26024955436720143, s=-146.0, var_s=4458.0, slope=-0.01701141995259642, intercept=4.093875242404654)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-staging-and-production-slots-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.21259734480410808, z=-1.2464551506082664, Tau=-0.11612903225806452, s=-54.0, var_s=1808.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.6469805781157447e-10, z=6.230584536576301, Tau=0.7806451612903226, s=363.0, var_s=3375.6666666666665, slope=30.464285714285715, intercept=534.0357142857142)","Mann_Kendall_Test(trend='no trend', h=False, p=0.4911616530743612, z=-0.6884623797321879, Tau=-0.08817204301075268, s=-41.0, var_s=3375.6666666666665, slope=0.0, intercept=3.673684210526316)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=0.21259734480410808, z=-1.2464551506082664, Tau=-0.11612903225806452, s=-54.0, var_s=1808.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.69858357881958e-10, z=6.315173591666589, Tau=0.7935483870967742, s=369.0, var_s=3395.6666666666665, slope=30.05, intercept=527.25)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3908704370757874, z=-0.8580398901720909, Tau=-0.10967741935483871, s=-51.0, var_s=3395.6666666666665, slope=-0.013925729442970658, intercept=4.053330386089005)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-access-key-vault-by-msi-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0031821005032981464, z=2.9495762407505253, Tau=0.6666666666666666, s=30.0, var_s=96.66666666666667, slope=14.416666666666666, intercept=1203.625)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019318925570162238, z=2.3393190874917957, Tau=0.5333333333333333, s=24.0, var_s=96.66666666666667, slope=0.009374999999999967, intercept=3.768923611111111)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-access-key-vault-convenience-for-web-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00023293886076602988, z=3.680322828150132, Tau=0.717948717948718, s=56.0, var_s=223.33333333333334, slope=13.214285714285715, intercept=1191.7142857142858)","Mann_Kendall_Test(trend='increasing', h=True, p=0.006078557079747693, z=2.743513380984644, Tau=0.5384615384615384, s=42.0, var_s=223.33333333333334, slope=0.010424506999849426, intercept=3.7286617492096945)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
Azure-Samples\\app-service-java-manage-logs-for-function-apps,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=8.046419650908909e-05, z=3.943013284335431, Tau=0.7948717948717948, s=62.0, var_s=239.33333333333334, slope=13.571428571428571, intercept=1208.0714285714287)","Mann_Kendall_Test(trend='increasing', h=True, p=0.006078557079747693, z=2.743513380984644, Tau=0.5384615384615384, s=42.0, var_s=223.33333333333334, slope=0.01216695011337874, intercept=3.5800595238095236)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
